Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/15/2021,08/15/2021,AUTOMATIC PAYMENT - THANK,,Payment,490.95,
07/30/2021,08/01/2021,SEAMLSS,Food & Drink,Sale,-2.06,
07/29/2021,07/30/2021,SEAMLSS,Food & Drink,Sale,-3.78,
07/28/2021,07/29/2021,SEAMLSS,Food & Drink,Sale,-11.14,
07/27/2021,07/28/2021,SEAMLSS,Food & Drink,Sale,-10.98,
07/23/2021,07/25/2021,SEAMLSS,Food & Drink,Sale,-6.84,
07/24/2021,07/25/2021,SEAMLSS,Food & Drink,Sale,-0.81,
07/22/2021,07/23/2021,SEAMLSS,Food & Drink,Sale,-4.23,
07/21/2021,07/22/2021,SEAMLSS,Food & Drink,Sale,-1.89,
07/20/2021,07/21/2021,SEAMLSS,Food & Drink,Sale,-6.96,
07/17/2021,07/18/2021,SEAMLSS,Food & Drink,Sale,-1.89,
07/16/2021,07/16/2021,LYFT,Travel,Sale,-19.99,
07/15/2021,07/16/2021,SEAMLSS,Food & Drink,Sale,-3.39,
07/14/2021,07/15/2021,SEAMLSS,Food & Drink,Sale,-10.98,
07/13/2021,07/14/2021,SEAMLSS,Food & Drink,Sale,-13.2,
07/11/2021,07/12/2021,SEAMLSS,Food & Drink,Sale,-67.47,
07/10/2021,07/11/2021,SEAMLSS,Food & Drink,Sale,-0.96,
07/08/2021,07/09/2021,SEAMLSS,Food & Drink,Sale,-27.98,
07/07/2021,07/08/2021,SEAMLSS,Food & Drink,Sale,-6.84,
07/06/2021,07/07/2021,SEAMLSS,Food & Drink,Sale,-38.05,
07/01/2021,07/04/2021,SEAMLSS,Food & Drink,Sale,-107.21,
07/01/2021,07/02/2021,SEAMLSS,Food & Drink,Sale,-18.04,
06/30/2021,07/01/2021,SEAMLSS,Food & Drink,Sale,-22,
06/29/2021,06/30/2021,SEAMLSS,Food & Drink,Sale,-13.18,
06/26/2021,06/27/2021,SEAMLSS,Food & Drink,Sale,-4.23,
06/25/2021,06/27/2021,SEAMLSS,Food & Drink,Sale,-3.27,
06/24/2021,06/24/2021,SEAMLSS,Food & Drink,Sale,-56.48,
06/23/2021,06/24/2021,SEAMLSS,Food & Drink,Sale,-10.98,
06/22/2021,06/23/2021,SEAMLSS,Food & Drink,Sale,-3.69,
06/18/2021,06/20/2021,SEAMLSS,Food & Drink,Sale,-11.3,
06/19/2021,06/20/2021,SEAMLSS,Food & Drink,Sale,-53.73,
06/17/2021,06/18/2021,SEAMLSS,Food & Drink,Sale,-2.24,
06/17/2021,06/17/2021,SEAMLSS,Food & Drink,Sale,-37.76,
06/16/2021,06/17/2021,SEAMLSS,Food & Drink,Sale,-11.16,
06/15/2021,06/16/2021,SEAMLSS,Food & Drink,Sale,-10.98,
06/15/2021,06/15/2021,SEAMLSS,Food & Drink,Sale,-30.37,
06/13/2021,06/14/2021,SEAMLSS,Food & Drink,Sale,-48.11,
06/13/2021,06/13/2021,LYFT,Travel,Sale,-22.89,
06/12/2021,06/13/2021,SEAMLSS,Food & Drink,Sale,-2.24,
06/11/2021,06/13/2021,SEAMLSS,Food & Drink,Sale,-4.2,
06/13/2021,06/13/2021,LYFT,Travel,Sale,-78.87,
06/11/2021,06/11/2021,SEAMLSS,Food & Drink,Sale,-34.68,
06/10/2021,06/10/2021,SEAMLSS,Food & Drink,Sale,-36.48,
06/09/2021,06/10/2021,SEAMLSS,Food & Drink,Sale,-8.79,
06/08/2021,06/09/2021,SEAMLSS,Food & Drink,Sale,-1.89,
06/06/2021,06/07/2021,SEAMLSS,Food & Drink,Sale,-33.72,
06/05/2021,06/06/2021,SEAMLSS,Food & Drink,Sale,-1.42,
06/04/2021,06/04/2021,SEAMLSS,Food & Drink,Sale,-30.14,
06/03/2021,06/04/2021,UBER   TRIP,Travel,Sale,-6.49,
06/03/2021,06/04/2021,SEAMLSS,Food & Drink,Sale,-15.98,
06/02/2021,06/03/2021,SEAMLSS,Food & Drink,Sale,-9.17,
05/31/2021,05/31/2021,SEAMLSS,Food & Drink,Sale,-52.49,
05/30/2021,05/31/2021,SEAMLSS,Food & Drink,Sale,-80.11,
05/28/2021,05/30/2021,SEAMLSS,Food & Drink,Sale,-2.18,
05/28/2021,05/28/2021,SEAMLSS,Food & Drink,Sale,-22.41,
